"rating","price_usd","dominant_label","norm_sentiment","skin_type","token_count","mentions_social_media"
5,92,"Texture, Fragrance & Makeup",-0.0526315789473684,"normal",38,FALSE
4,34,"Problematic Skin (Acne/Sensitivity)",0.172413793103448,"combination",29,FALSE
1,27,"Purchase Experience & Satisfaction",0.0704225352112676,"combination",71,FALSE
5,38,"Moisterization",0.157894736842105,"combination",38,FALSE
3,62,"Purchase Experience & Satisfaction",0.0952380952380952,"oily",42,FALSE
5,7,"Problematic Skin (Acne/Sensitivity)",0.119047619047619,"normal",84,FALSE
4,40,"Moisterization",0,"combination",19,FALSE
5,38,"Purchase Experience & Satisfaction",0.428571428571429,"combination",14,FALSE
5,60,"Problematic Skin (Acne/Sensitivity)",0.428571428571429,"oily",7,FALSE
5,3,"Texture, Fragrance & Makeup",0.75,"dry",8,FALSE
5,18,"Purchase Experience & Satisfaction",0.333333333333333,"normal",33,FALSE
5,22,"Texture, Fragrance & Makeup",0.130434782608696,"combination",23,FALSE
5,27,"Texture, Fragrance & Makeup",0.05,"combination",20,FALSE
4,21,"Purchase Experience & Satisfaction",0.15,"combination",20,FALSE
5,49,"Purchase Experience & Satisfaction",0.192307692307692,"normal",26,FALSE
5,39,"Purchase Experience & Satisfaction",0.17948717948718,"combination",39,FALSE
5,24,"Texture, Fragrance & Makeup",0.25,"normal",28,FALSE
5,24,"Moisterization",0.0769230769230769,"normal",26,FALSE
5,20,"Purchase Experience & Satisfaction",0.545454545454545,"dry",11,FALSE
5,13,"Purchase Experience & Satisfaction",1,"oily",6,FALSE
4,45,"Moisterization",0.170212765957447,"combination",47,FALSE
5,36,"Problematic Skin (Acne/Sensitivity)",0.125,"dry",40,FALSE
2,32,"Moisterization",0.233333333333333,"dry",30,FALSE
5,56,"Texture, Fragrance & Makeup",0.105263157894737,"combination",19,FALSE
5,145,"Purchase Experience & Satisfaction",0,"combination",12,FALSE
4,37,"Texture, Fragrance & Makeup",0.142857142857143,"combination",21,FALSE
4,24,"Problematic Skin (Acne/Sensitivity)",0.272727272727273,"combination",11,FALSE
5,38,"Problematic Skin (Acne/Sensitivity)",0.0769230769230769,"dry",26,FALSE
5,13,"Moisterization",0.75,"combination",4,FALSE
5,78,"Moisterization",0.0925925925925926,"dry",54,FALSE
5,21,"Purchase Experience & Satisfaction",-0.05,"dry",80,FALSE
5,52,"Purchase Experience & Satisfaction",0.133333333333333,"combination",15,FALSE
5,92,"Moisterization",0.0697674418604651,"normal",43,FALSE
1,26,"Texture, Fragrance & Makeup",0.115384615384615,"combination",52,FALSE
5,40,"Problematic Skin (Acne/Sensitivity)",0.381818181818182,"dry",55,FALSE
5,95,"Texture, Fragrance & Makeup",0.363636363636364,"combination",22,FALSE
5,5.99,"Moisterization",0.333333333333333,"combination",15,FALSE
1,32.5,"Texture, Fragrance & Makeup",0.0909090909090909,"combination",22,FALSE
4,21,"Problematic Skin (Acne/Sensitivity)",0.272727272727273,"combination",22,FALSE
4,89,"Problematic Skin (Acne/Sensitivity)",0.292682926829268,"combination",41,FALSE
5,14,"Texture, Fragrance & Makeup",0.1,"oily",20,FALSE
5,125,"Problematic Skin (Acne/Sensitivity)",0.171428571428571,"dry",35,FALSE
4,38,"Moisterization",0.272727272727273,"oily",22,FALSE
5,34,"Problematic Skin (Acne/Sensitivity)",0.0833333333333333,"combination",36,FALSE
3,90,"Purchase Experience & Satisfaction",0,"combination",19,FALSE
5,74,"Moisterization",0.612903225806452,"combination",31,FALSE
5,82,"Texture, Fragrance & Makeup",0,"combination",10,FALSE
5,16,"Problematic Skin (Acne/Sensitivity)",0.296296296296296,"combination",27,FALSE
3,38,"Moisterization",0.147058823529412,"oily",34,FALSE
5,125,"Moisterization",0.2,"combination",25,FALSE
3,46,"Problematic Skin (Acne/Sensitivity)",0.217391304347826,"normal",23,FALSE
3,13,"Moisterization",0.444444444444444,"combination",18,FALSE
1,15.7,"Texture, Fragrance & Makeup",-0.238095238095238,"combination",21,FALSE
5,52,"Purchase Experience & Satisfaction",-0.0454545454545455,"combination",22,FALSE
5,54,"Moisterization",0.296296296296296,"combination",27,FALSE
5,39,"Texture, Fragrance & Makeup",0.25,"combination",36,TRUE
5,60,"Texture, Fragrance & Makeup",0.102564102564103,"combination",39,FALSE
5,24,"Problematic Skin (Acne/Sensitivity)",0.5,"combination",6,FALSE
5,32,"Moisterization",0.413793103448276,"combination",29,FALSE
5,14,"Moisterization",0.238095238095238,"combination",21,FALSE
5,50,"Problematic Skin (Acne/Sensitivity)",0.128205128205128,"combination",39,FALSE
5,42,"Problematic Skin (Acne/Sensitivity)",0.115384615384615,"oily",26,FALSE
4,42,"Problematic Skin (Acne/Sensitivity)",0.0952380952380952,"combination",21,FALSE
5,22,"Moisterization",-0.0666666666666667,"dry",90,FALSE
4,38,"Texture, Fragrance & Makeup",0.347826086956522,"dry",23,FALSE
3,24,"Problematic Skin (Acne/Sensitivity)",0,"dry",14,FALSE
3,14,"Purchase Experience & Satisfaction",0.210526315789474,"combination",19,FALSE
5,6,"Moisterization",-0.25,"oily",12,FALSE
5,6,"Texture, Fragrance & Makeup",0.0857142857142857,"normal",35,FALSE
4,38.5,"Purchase Experience & Satisfaction",0.2,"combination",25,FALSE
5,46,"Purchase Experience & Satisfaction",0.136363636363636,"combination",22,FALSE
3,74,"Moisterization",0.105263157894737,"normal",38,FALSE
3,49,"Purchase Experience & Satisfaction",0,"combination",17,FALSE
1,32,"Texture, Fragrance & Makeup",0,"combination",10,FALSE
